,Financial Benchmarks India Private Ltd,,,,
,,,,,
FBIL SDL/SGS Prices/Yields,,,18-Sep-26,,
Calculating Agent: FBIL,,,,,
ISIN,Description,Coupon,Maturity (dd-mmm-yyyy),Price(Rs),YTM% p.a. (Semi-Annual)
IN3120170011,07.63 TN SDL 2027,7.63,12/Apr/2027,100.7032,6.3171
IN3320170019,07.67 UP SDL 2027,7.67,12/Apr/2027,100.7248,6.3171
IN1120170015,07.62 AR SDL 2027,7.62,19/Apr/2027,100.7202,6.3171
IN1020200086,06.90 AP SDL 2027,6.9,22/Apr/2027,100.3226,6.3171
IN1020170016,07.60 AP SDL 2027,7.6,26/Apr/2027,100.7312,6.3171
IN1820170018,07.59 JK SDL 2027,7.59,26/Apr/2027,100.7254,6.3171
IN2820170024,07.59 PN SDL 2027APR,7.59,26/Apr/2027,100.7254,6.3171
IN3620170016,07.59 UK SDL 2027,7.59,26/Apr/2027,100.7254,6.3171
IN3320170027,07.61 UP SDL 2027,7.61,26/Apr/2027,100.7370,6.3171
IN1020200110,06.35 AP SDL 2027,6.35,06/May/2027,100.0106,6.3171
IN3120170029,07.55 TN SDL 2027,7.55,11/May/2027,100.7485,6.3171
IN2020170022,07.55 KL SDL 2027,7.55,11/May/2027,100.7485,6.3171
IN2820170032,07.55 PN SDL 2027,7.55,11/May/2027,100.7485,6.3171
IN3320170035,07.61 UP SDL 2027MAY,7.61,11/May/2027,100.7854,6.3171
IN1020220100,07.46 AP SDL 2027,7.46,18/May/2027,100.7132,6.3171
IN1220170014,07.55 AS SDL 2027,7.55,24/May/2027,100.7890,6.3171
IN1420170012,07.49 GA SDL 2027,7.49,24/May/2027,100.7501,6.3171
IN1520170045,07.52 GJ SDL 2027,7.52,24/May/2027,100.7695,6.3171
IN1620170010,07.53 HR SDL 2027,7.53,24/May/2027,100.7760,6.3171
IN1720170019,07.54 HP SDL 2027,7.54,24/May/2027,100.7825,6.3171
IN1820170026,07.50 JK SDL 2027,7.5,24/May/2027,100.7566,6.3171
IN2220170020,07.51 MH SDL 2027,7.51,24/May/2027,100.7630,6.3171
IN2820170040,07.49 PN SDL 2027,7.49,24/May/2027,100.7501,6.3171
IN2920170015,07.51 RJ SDL 2027,7.51,24/May/2027,100.7630,6.3171
IN3020170012,07.51 SK SDL 2027,7.51,24/May/2027,100.7630,6.3171
IN3120170037,07.52 TN SDL 2027,7.52,24/May/2027,100.7695,6.3171
IN3220170010,07.50 TR SDL 2027,7.5,24/May/2027,100.7566,6.3171
IN3320170043,07.52 UP SDL 2027,7.52,24/May/2027,100.7695,6.3171
IN1620230046,07.16 HR SGS 2027,7.16,24/May/2027,100.5359,6.3171
IN1320210017,06.39 BR SDL 2027,6.39,25/May/2027,100.0362,6.3171
IN4520190021,07.78 TS SDL 2027,7.78,29/May/2027,100.9570,6.3171
IN1020180098,08.34 AP SDL 2027,8.34,30/May/2027,101.3330,6.3171
IN1320210025,06.45 BR SDL 2027,6.45,02/Jun/2027,100.0773,6.3171
IN3720190013,07.60 JH SDL 2027,7.6,12/Jun/2027,100.8808,6.3171
IN4520190039,07.61 TS SDL 2027,7.61,12/Jun/2027,100.8877,6.3171
IN1220170022,07.15 AS SDL 2027,7.15,14/Jun/2027,100.5719,6.3171
IN1520170052,07.20 GJ SDL 2027,7.2,14/Jun/2027,100.6069,6.3171
IN2020170030,07.20 KL SDL 2027,7.2,14/Jun/2027,100.6069,6.3171
IN2320170011,07.15 MN SDL 2027,7.15,14/Jun/2027,100.5719,6.3171
IN2820170057,07.25 PN SDL 2027,7.25,14/Jun/2027,100.6420,6.3171
IN2920170023,07.23 RJ SDL 2027,7.23,14/Jun/2027,100.6279,6.3171
IN3120170045,07.23 TN SDL 2027,7.23,14/Jun/2027,100.6279,6.3171
IN3620170024,07.21 UK SDL 2027,7.21,14/Jun/2027,100.6139,6.3171
IN1620220096,07.69 HR SDL 2027,7.69,15/Jun/2027,100.9541,6.3171
IN1020200193,06.48 AP SDL 2027,6.48,17/Jun/2027,100.1033,6.3171
IN1520240012,07.23 GJ SGS 2027,7.23,19/Jun/2027,100.6398,6.3171
IN4520190047,07.38 TS SDL 2027,7.38,26/Jun/2027,100.7664,6.3171
IN1020170040,07.24 AP SDL 2027,7.24,28/Jun/2027,100.6687,6.3171
IN1220170030,07.29 AS SDL 2027,7.29,28/Jun/2027,100.7056,6.3171
IN1620170028,07.26 HR SDL 2027,7.26,28/Jun/2027,100.6835,6.3171
IN1820170034,07.20 JK SDL 2027,7.2,28/Jun/2027,100.6392,6.3171
IN3720170015,07.27 JH SDL 2027,7.27,28/Jun/2027,100.6908,6.3171
IN2020170048,07.22 KL SDL 2027,7.22,28/Jun/2027,100.6539,6.3171
IN2820170065,07.20 PN SDL 2027,7.2,28/Jun/2027,100.6392,6.3171
IN2920170031,07.22 RJ SDL 2027,7.22,28/Jun/2027,100.6539,6.3171
IN3120170052,07.24 TN SDL 2027,7.24,28/Jun/2027,100.6687,6.3171
IN3420170018,07.28 WB SDL 2027,7.28,28/Jun/2027,100.6982,6.3171
IN1220220025,07.53 AS SDL 2027,7.53,29/Jun/2027,100.8858,6.3171
IN4520190054,07.28 TS SDL 2027,7.28,03/Jul/2027,100.7109,6.3171
IN1320210033,06.75 BR SDL 2027,6.75,07/Jul/2027,100.3177,6.3171
IN1120170023,07.22 AR SDL 2027,7.22,12/Jul/2027,100.6875,6.3171
IN1420170020,07.22 GA SDL 2027,7.22,12/Jul/2027,100.6875,6.3171
IN1520170060,07.25 GJ SDL 2027,7.25,12/Jul/2027,100.7108,6.3171
IN1720170027,07.27 HP SDL 2027,7.27,12/Jul/2027,100.7263,6.3171
IN1820170042,07.34 JK SDL 2027,7.34,12/Jul/2027,100.7805,6.3171
IN2020170055,07.25 KL SDL 2027,7.25,12/Jul/2027,100.7108,6.3171
IN2520170019,07.22 MZ SDL 2027,7.22,12/Jul/2027,100.6875,6.3171
IN2820170073,07.34 PN SDL 2027,7.34,12/Jul/2027,100.7805,6.3171
IN3120170060,07.27 TN SDL 2027,7.27,12/Jul/2027,100.7263,6.3171
IN3620170032,07.22 UK SDL 2027,7.22,12/Jul/2027,100.6875,6.3171
IN3320170050,07.29 UP SDL 2027,7.29,12/Jul/2027,100.7417,6.3171
IN3420170026,07.28 WB SDL 2027JUL,7.28,12/Jul/2027,100.7340,6.3171
IN1920200087,06.12 KA SDL 2027,6.12,22/Jul/2027,99.8314,6.3171
IN4520190062,07.05 TS SDL 2027,7.05,24/Jul/2027,100.5799,6.3171
IN1220170048,07.30 AS SDL 2027,7.3,26/Jul/2027,100.7866,6.3171
IN1520170078,07.17 GJ SDL 2027,7.17,26/Jul/2027,100.6812,6.3171
IN2020170063,07.19 KL SDL 2027,7.19,26/Jul/2027,100.6974,6.3171
IN2420170010,07.26 MG SDL 2027,7.26,26/Jul/2027,100.7542,6.3171
IN2820170081,07.24 PN SDL 2027,7.24,26/Jul/2027,100.7380,6.3171
IN3120170078,07.18 TN SDL 2027,7.18,26/Jul/2027,100.6893,6.3171
IN3320170068,07.19 UP SDL 2027,7.19,26/Jul/2027,100.6974,6.3171
IN3420170034,07.20 WB SDL 2027,7.2,26/Jul/2027,100.7055,6.3171
IN2920200267,06.20 RJ SDL 2027,6.2,29/Jul/2027,99.8941,6.3171
IN4520190070,07.03 TS SDL 2027,7.03,07/Aug/2027,100.5895,6.3171
IN1920190023,07.04 KA SDL 2027,7.04,07/Aug/2027,100.5979,6.3171
IN1220170055,07.26 AS SDL 2027,7.26,09/Aug/2027,100.7878,6.3171
IN3420170042,07.25 WB SDL 2027,7.25,09/Aug/2027,100.7794,6.3171
IN1420170038,07.20 GA SDL 2027,7.2,09/Aug/2027,100.7371,6.3171
IN1520170086,07.21 GJ SDL 2027,7.21,09/Aug/2027,100.7456,6.3171
IN1820170059,07.27 JK SDL 2027,7.27,09/Aug/2027,100.7963,6.3171
IN2120170013,07.22 MP SDL 2027,7.22,09/Aug/2027,100.7540,6.3171
IN2220170061,07.20 MH SDL 2027,7.2,09/Aug/2027,100.7371,6.3171
